Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,1.000000
jittering_0.05,jittering,0.05,1.000000,1.000000
jittering_0.1,jittering,0.1,1.000000,1.000000
jittering_0.2,jittering,0.2,0.985714,0.995238
jittering_0.4,jittering,0.4,0.819048,0.990476
missing_0,missing,0,1.000000,1.000000
missing_0.05,missing,0.05,1.000000,1.000000
missing_0.1,missing,0.1,0.990476,0.995238
missing_0.2,missing,0.2,0.990476,0.980952
missing_0.4,missing,0.4,0.938095,0.980952
outlier_0,outlier,0,1.000000,1.000000
outlier_0.05,outlier,0.05,0.957143,1.000000
outlier_0.1,outlier,0.1,0.871429,0.976190
outlier_0.2,outlier,0.2,0.642857,0.838095
outlier_0.4,outlier,0.4,0.500000,0.676190
scaling_0,scaling,0,1.000000,1.000000
scaling_0.05,scaling,0.05,1.000000,1.000000
scaling_0.1,scaling,0.1,1.000000,1.000000
scaling_0.2,scaling,0.2,0.985714,0.995238
scaling_0.4,scaling,0.4,0.819048,0.990476
trend_0,trend,0,1.000000,1.000000
trend_0.05,trend,0.05,1.000000,1.000000
trend_0.1,trend,0.1,1.000000,1.000000
trend_0.2,trend,0.2,0.985714,0.995238
trend_0.4,trend,0.4,0.819048,0.990476
