Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.885000,0.810000
jittering_0.05,jittering,0.05,0.880000,0.810000
jittering_0.1,jittering,0.1,0.875000,0.815000
jittering_0.2,jittering,0.2,0.870000,0.810000
jittering_0.4,jittering,0.4,0.820000,0.810000
missing_0,missing,0,0.885000,0.810000
missing_0.05,missing,0.05,0.885000,0.815000
missing_0.1,missing,0.1,0.880000,0.815000
missing_0.2,missing,0.2,0.820000,0.770000
missing_0.4,missing,0.4,0.805000,0.765000
outlier_0,outlier,0,0.885000,0.810000
outlier_0.05,outlier,0.05,0.745000,0.745000
outlier_0.1,outlier,0.1,0.700000,0.760000
outlier_0.2,outlier,0.2,0.630000,0.695000
outlier_0.4,outlier,0.4,0.630000,0.665000
scaling_0,scaling,0,0.885000,0.810000
scaling_0.05,scaling,0.05,0.880000,0.810000
scaling_0.1,scaling,0.1,0.875000,0.815000
scaling_0.2,scaling,0.2,0.870000,0.810000
scaling_0.4,scaling,0.4,0.820000,0.810000
trend_0,trend,0,0.885000,0.810000
trend_0.05,trend,0.05,0.880000,0.810000
trend_0.1,trend,0.1,0.875000,0.815000
trend_0.2,trend,0.2,0.870000,0.810000
trend_0.4,trend,0.4,0.820000,0.810000
