"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.883333","0.866667"
"jittering_0.05","jittering","0.05","0.266667","0.416667"
"jittering_0.1","jittering","0.1","0.266667","0.416667"
"jittering_0.2","jittering","0.2","0.266667","0.416667"
"jittering_0.4","jittering","0.4","0.266667","0.416667"
"missing_0","missing","0","0.883333","0.866667"
"missing_0.05","missing","0.05","0.333333","0.416667"
"missing_0.1","missing","0.1","0.216667","0.416667"
"missing_0.2","missing","0.2","0.350000","0.416667"
"missing_0.4","missing","0.4","0.266667","0.416667"
"outlier_0","outlier","0","0.883333","0.866667"
"outlier_0.05","outlier","0.05","0.450000","0.416667"
"outlier_0.1","outlier","0.1","0.283333","0.416667"
"outlier_0.2","outlier","0.2","0.283333","0.416667"
"outlier_0.4","outlier","0.4","0.366667","0.416667"
