Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.516667,0.466667
jittering_0.05,jittering,0.05,0.533333,0.483333
jittering_0.1,jittering,0.1,0.483333,0.483333
jittering_0.2,jittering,0.2,0.416667,0.350000
jittering_0.4,jittering,0.4,0.300000,0.333333
missing_0,missing,0,0.516667,0.466667
missing_0.05,missing,0.05,0.383333,0.416667
missing_0.1,missing,0.1,0.433333,0.316667
missing_0.2,missing,0.2,0.450000,0.333333
missing_0.4,missing,0.4,0.416667,0.300000
outlier_0,outlier,0,0.516667,0.466667
outlier_0.05,outlier,0.05,0.333333,0.333333
outlier_0.1,outlier,0.1,0.383333,0.366667
outlier_0.2,outlier,0.2,0.400000,0.283333
outlier_0.4,outlier,0.4,0.316667,0.283333
scaling_0,scaling,0,0.516667,0.466667
scaling_0.05,scaling,0.05,0.533333,0.483333
scaling_0.1,scaling,0.1,0.483333,0.483333
scaling_0.2,scaling,0.2,0.416667,0.350000
scaling_0.4,scaling,0.4,0.300000,0.333333
trend_0,trend,0,0.516667,0.466667
trend_0.05,trend,0.05,0.533333,0.483333
trend_0.1,trend,0.1,0.483333,0.483333
trend_0.2,trend,0.2,0.416667,0.350000
trend_0.4,trend,0.4,0.300000,0.333333
