"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.983910","0.987148"
"jittering_0.05","jittering","0.05","0.983910","0.988748"
"jittering_0.1","jittering","0.1","0.985523","0.988748"
"jittering_0.2","jittering","0.2","0.982284","0.987135"
"jittering_0.4","jittering","0.4","0.924335","0.979084"
"missing_0","missing","0","0.983910","0.987148"
"missing_0.05","missing","0.05","0.980710","0.977484"
"missing_0.1","missing","0.1","0.969419","0.972684"
"missing_0.2","missing","0.2","0.930826","0.945277"
"missing_0.4","missing","0.4","0.826116","0.916310"
"outlier_0","outlier","0","0.983910","0.987148"
"outlier_0.05","outlier","0.05","0.747123","0.879213"
"outlier_0.1","outlier","0.1","0.653819","0.806710"
"outlier_0.2","outlier","0.2","0.555626","0.708490"
"outlier_0.4","outlier","0.4","0.518594","0.637690"
