Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.916667,0.922222
jittering_0.05,jittering,0.05,0.922222,0.883333
jittering_0.1,jittering,0.1,0.888889,0.811111
jittering_0.2,jittering,0.2,0.788889,0.722222
jittering_0.4,jittering,0.4,0.588889,0.661111
missing_0,missing,0,0.916667,0.922222
missing_0.05,missing,0.05,0.911111,0.894444
missing_0.1,missing,0.1,0.888889,0.877778
missing_0.2,missing,0.2,0.811111,0.827778
missing_0.4,missing,0.4,0.666667,0.705556
outlier_0,outlier,0,0.916667,0.922222
outlier_0.05,outlier,0.05,0.755556,0.822222
outlier_0.1,outlier,0.1,0.566667,0.711111
outlier_0.2,outlier,0.2,0.588889,0.655556
outlier_0.4,outlier,0.4,0.411111,0.600000
scaling_0,scaling,0,0.916667,0.922222
scaling_0.05,scaling,0.05,0.922222,0.883333
scaling_0.1,scaling,0.1,0.888889,0.811111
scaling_0.2,scaling,0.2,0.788889,0.722222
scaling_0.4,scaling,0.4,0.588889,0.661111
trend_0,trend,0,0.916667,0.922222
trend_0.05,trend,0.05,0.922222,0.883333
trend_0.1,trend,0.1,0.888889,0.811111
trend_0.2,trend,0.2,0.788889,0.722222
trend_0.4,trend,0.4,0.588889,0.661111
