Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.991304,0.756917
jittering_0.05,jittering,0.05,0.513439,0.504348
jittering_0.1,jittering,0.1,0.513439,0.513439
jittering_0.2,jittering,0.2,0.513439,0.513439
jittering_0.4,jittering,0.4,0.513439,0.513439
missing_0,missing,0,0.991304,0.756917
missing_0.05,missing,0.05,0.630435,0.638735
missing_0.1,missing,0.1,0.505534,0.541897
missing_0.2,missing,0.2,0.486957,0.558893
missing_0.4,missing,0.4,0.503953,0.458498
outlier_0,outlier,0,0.991304,0.756917
outlier_0.05,outlier,0.05,0.423320,0.504743
outlier_0.1,outlier,0.1,0.468775,0.621344
outlier_0.2,outlier,0.2,0.541107,0.558103
outlier_0.4,outlier,0.4,0.658498,0.504348
scaling_0,scaling,0,0.991304,0.756917
scaling_0.05,scaling,0.05,0.513439,0.504348
scaling_0.1,scaling,0.1,0.513439,0.513439
scaling_0.2,scaling,0.2,0.513439,0.513439
scaling_0.4,scaling,0.4,0.513439,0.513439
trend_0,trend,0,0.991304,0.756917
trend_0.05,trend,0.05,0.513439,0.504348
trend_0.1,trend,0.1,0.513439,0.513439
trend_0.2,trend,0.2,0.513439,0.513439
trend_0.4,trend,0.4,0.513439,0.513439
